legacy_id,source_item_code,manual_code,item_type,source_number,source_text_sha256,source_status,governance_approval_status
DGI-080,DGI-05-P06,iSAFE-DGM-05,CONTROL,6,be8c896ffe48898917cc4cb5ebc95ca5b0289fdeed8430d852360a61803f917b,SOURCE_FOUND,PENDING
DGI-081,DGI-06-A01,iSAFE-DGM-06,REQUIREMENT,1,792cec2becf48852c59f0607b5fd8df1f6bfb644406ced69223d6883a00adf12,SOURCE_FOUND,PENDING
DGI-082,DGI-06-A02,iSAFE-DGM-06,REQUIREMENT,2,1db49a29ce22dc5b708cbb80b4332a16abf3943fe498ea50dff469afc08e9514,SOURCE_FOUND,PENDING
DGI-083,DGI-06-A03,iSAFE-DGM-06,REQUIREMENT,3,b47d869c5bb6cb9bf3014eca52a3aa40161418224c06a2985375a2222be17e57,SOURCE_FOUND,PENDING
DGI-084,DGI-06-A04,iSAFE-DGM-06,REQUIREMENT,4,c0fb152fab137442d72842517284268acf3c84898086efefddec4e564bc1ed71,SOURCE_FOUND,PENDING
DGI-085,DGI-06-A05,iSAFE-DGM-06,REQUIREMENT,5,70b8d4a903024ac3a84151d348dba6e76cde124c21b9463588ad7e9efca00c94,SOURCE_FOUND,PENDING
DGI-086,DGI-06-E01,iSAFE-DGM-06,RISK_SIGNAL,1,2b8b740e87e472b67a821f9da900e1c2f0bddf7f7c94ed2e6593dea92bb85dda,SOURCE_FOUND,PENDING
DGI-087,DGI-06-E02,iSAFE-DGM-06,RISK_SIGNAL,2,ee819826a48704d416f333bd9e157dd667817cfde24c4831cc40fcb3ece2c020,SOURCE_FOUND,PENDING
DGI-088,DGI-06-E03,iSAFE-DGM-06,RISK_SIGNAL,3,62dea06d3311692600da3d6ff6314ea3565602d7a4b2bcbdb05347b3aff6fd3a,SOURCE_FOUND,PENDING
DGI-089,DGI-06-E04,iSAFE-DGM-06,RISK_SIGNAL,4,4bccc652581a0e600334b78c689760f98cbc0235757e7a4d2f0249aa0ad0c54a,SOURCE_FOUND,PENDING
DGI-090,DGI-06-P01,iSAFE-DGM-06,CONTROL,1,8b769393e64ca72f6a4314d9182096a0a7844188e72f44b42552291794ff23f8,SOURCE_FOUND,PENDING
DGI-091,DGI-06-P02,iSAFE-DGM-06,CONTROL,2,c3f786bbaa0856f9ec343b3426613f08035ed078d8cf8ecfab85ad5d528d7273,SOURCE_FOUND,PENDING
DGI-092,DGI-06-P03,iSAFE-DGM-06,CONTROL,3,55ff9c04688e6b9c844513876cf21788f2a128bcbe261654a6b4b9b206ecfc76,SOURCE_FOUND,PENDING
DGI-093,DGI-06-P04,iSAFE-DGM-06,CONTROL,4,66a88fd23152e34386de1249cd2f0863a943b5da8ccb258c1911514a71f0cdf1,SOURCE_FOUND,PENDING
DGI-094,DGI-07-A01,iSAFE-DGM-07,REQUIREMENT,1,210dec9070c035289d9a4bdbf25eb77fa8cdcd57b6bb79939bebf29acbf580c7,SOURCE_FOUND,PENDING
